,transformations,ddg_exp,ddg_exp_err,ddg_afe,ddg_afe_err
0,Ligand 1 to 2,-0.8139037901191131,0.06619392216622669,-0.9046,0.1579
1,Ligand 1 to 3,-0.45643289562892986,0.1143014149681092,-1.8767,0.188
2,Ligand 1 to 4,-0.20568714501253604,0.13201637266119665,-0.6007,0.1324
3,Ligand 1 to 5,0.9217094390612374,0.059797331794967275,0.5558,0.1001
4,Ligand 1 to 6,-1.8820814044321212,0.10406224515816033,-1.0552,0.2177
5,Ligand 1 to 7,-0.6062568262702405,0.08131752800823955,-0.3688,0.153
6,Ligand 1 to 8,-0.7532248890425166,0.12996023347397595,-0.7799,0.1793
7,Ligand 1 to 9,-2.9187438532728036,0.12864329604231448,-2.1973,0.2986
8,Ligand 1 to 10,-0.8068485447286646,0.06339119807138811,-0.2341,0.1141
9,Ligand 1 to 11,0.873057234369901,0.11092329083847266,0.6117,0.2187
10,Ligand 1 to 13,-1.6126253756087694,0.22488187036849341,0.8546,0.2111
11,Ligand 1 to 16,-4.414869755776861,0.2170558311359067,-2.0667,0.3507
