Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
0         ,1         ,lig_1.sdf                ,lig_10.sdf               ,0.81873        ,0.81873        ,0.81873        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:23,18:18,19:19,20:20,21:21,22:17,23:24,24:25,25:26,29:22
0         ,2         ,lig_1.sdf                ,lig_11.sdf               ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:23,18:17,19:18,20:19,21:20,22:21,29:22
0         ,3         ,lig_1.sdf                ,lig_12.sdf               ,0.70469        ,0.70469        ,0.70469        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:17,16:15,17:24,18:18,19:19,20:20,21:21,22:22,29:23
0         ,4         ,lig_1.sdf                ,lig_13.sdf               ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:23,18:18,19:19,20:20,21:21,22:17,23:25,24:26,25:27,29:22
0         ,5         ,lig_1.sdf                ,lig_14.sdf               ,0.67032        ,0.67032        ,0.67032        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:22,17:20,18:16,19:17,20:18,21:19,29:21
0         ,6         ,lig_1.sdf                ,lig_15.sdf               ,0.70469        ,0.70469        ,0.70469        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:22,17:21,18:16,19:17,20:18,21:19,22:23,29:20
0         ,7         ,lig_1.sdf                ,lig_16.sdf               ,0.74082        ,0.74082        ,0.74082        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:23,18:18,19:19,20:20,21:21,22:17,24:25,25:26,29:22
0         ,8         ,lig_1.sdf                ,lig_2.sdf                ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:22,18:18,19:19,20:20,21:21,22:23,25:17,29:24
0         ,9         ,lig_1.sdf                ,lig_3.sdf                ,0.33287        ,0.33287        ,0.33287        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,16:16,18:19,19:20,20:21,21:22,22:23,29:24
0         ,10        ,lig_1.sdf                ,lig_4.sdf                ,0.90484        ,0.90484        ,0.90484        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:23,18:17,19:18,20:19,21:20,22:21,23:24,24:25,25:26,29:22
0         ,11        ,lig_1.sdf                ,lig_5.sdf                ,0.90484        ,0.90484        ,0.90484        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:17,16:15,17:16,18:18,19:19,20:20,21:21,22:22,26:24,27:25,28:26,29:23
0         ,12        ,lig_1.sdf                ,lig_6.sdf                ,0.81873        ,0.81873        ,0.81873        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:23,18:18,19:19,20:20,21:21,22:17,23:24,24:25,25:26,29:22
0         ,13        ,lig_1.sdf                ,lig_7.sdf                ,0.74082        ,0.74082        ,0.74082        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:24,18:19,19:20,20:21,21:22,22:17,23:25,24:26,25:27,29:23
0         ,14        ,lig_1.sdf                ,lig_8.sdf                ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:23,18:18,19:19,20:20,21:21,22:17,29:22
0         ,15        ,lig_1.sdf                ,lig_9.sdf                ,0.81873        ,0.81873        ,0.81873        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:23,18:18,19:19,20:20,21:21,22:17,23:24,24:25,25:26,29:22
0         ,16        ,lig_1.sdf                ,ligands.mol2             ,0.00000        ,0.00000        ,0.00000        ,No        ,
1         ,2         ,lig_10.sdf               ,lig_11.sdf               ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:21,18:17,19:18,20:19,21:20,22:22,23:23
1         ,3         ,lig_10.sdf               ,lig_12.sdf               ,0.70469        ,0.70469        ,0.70469        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:17,16:15,17:22,18:18,19:19,20:20,21:21,22:23,23:24
1         ,4         ,lig_10.sdf               ,lig_13.sdf               ,0.90484        ,0.90484        ,0.90484        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:25,25:26,26:27
1         ,5         ,lig_10.sdf               ,lig_14.sdf               ,0.67032        ,0.67032        ,0.67032        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:22,18:16,19:17,20:18,21:19,22:21,23:20
1         ,6         ,lig_10.sdf               ,lig_15.sdf               ,0.70469        ,0.70469        ,0.70469        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:22,17:23,18:16,19:17,20:18,21:19,22:20,23:21
1         ,7         ,lig_10.sdf               ,lig_16.sdf               ,0.86071        ,0.86071        ,0.86071        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,25:25,26:26
1         ,8         ,lig_10.sdf               ,lig_2.sdf                ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:23,18:18,19:19,20:20,21:21,22:24,23:22,26:17
1         ,9         ,lig_10.sdf               ,lig_3.sdf                ,0.33287        ,0.33287        ,0.33287        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,16:16,17:23,18:19,19:20,20:21,21:22,22:24,23:17
1         ,10        ,lig_10.sdf               ,lig_4.sdf                ,0.90484        ,0.90484        ,0.90484        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:21,18:17,19:18,20:19,21:20,22:22,23:23,24:24,25:25,26:26
1         ,11        ,lig_10.sdf               ,lig_5.sdf                ,0.74082        ,0.74082        ,0.74082        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:17,16:15,17:22,18:18,19:19,20:20,21:21,22:23,23:16
1         ,12        ,lig_10.sdf               ,lig_6.sdf                ,0.95123        ,0.95123        ,0.95123        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:24,25:25,26:26
1         ,13        ,lig_10.sdf               ,lig_7.sdf                ,0.86071        ,0.86071        ,0.86071        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:19,19:20,20:21,21:22,22:23,23:24,24:25,25:26,26:27
1         ,14        ,lig_10.sdf               ,lig_8.sdf                ,0.95123        ,0.95123        ,0.95123        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23
1         ,15        ,lig_10.sdf               ,lig_9.sdf                ,0.95123        ,0.95123        ,0.95123        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:24,25:25,26:26
1         ,16        ,lig_10.sdf               ,ligands.mol2             ,0.00000        ,0.00000        ,0.00000        ,No        ,
2         ,3         ,lig_11.sdf               ,lig_12.sdf               ,0.90484        ,0.90484        ,0.90484        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:17,17:18,18:19,19:20,20:21,21:22,22:23,23:24,24:16
2         ,4         ,lig_11.sdf               ,lig_13.sdf               ,0.81873        ,0.81873        ,0.81873        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:18,18:19,19:20,20:21,21:17,22:22,23:23,24:24
2         ,5         ,lig_11.sdf               ,lig_14.sdf               ,0.81873        ,0.81873        ,0.81873        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:22,16:15,17:16,18:17,19:18,20:19,22:21,23:20,24:23
2         ,6         ,lig_11.sdf               ,lig_15.sdf               ,0.90484        ,0.90484        ,0.90484        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:22,16:15,17:16,18:17,19:18,20:19,21:23,22:20,23:21
2         ,7         ,lig_11.sdf               ,lig_16.sdf               ,0.81873        ,0.81873        ,0.81873        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:18,18:19,19:20,20:21,21:17,22:22,23:23,24:24
2         ,8         ,lig_11.sdf               ,lig_2.sdf                ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:18,18:19,19:20,20:21,21:23,22:24,23:22
2         ,9         ,lig_11.sdf               ,lig_3.sdf                ,0.70469        ,0.70469        ,0.70469        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:19,18:20,19:21,20:22,21:23,22:24,23:17
2         ,10        ,lig_11.sdf               ,lig_4.sdf                ,0.86071        ,0.86071        ,0.86071        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:17,18:18,19:19,20:20,21:21,22:22,23:23
2         ,11        ,lig_11.sdf               ,lig_5.sdf                ,0.86071        ,0.86071        ,0.86071        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:17,17:18,18:19,19:20,20:21,21:22,22:23,23:16
2         ,12        ,lig_11.sdf               ,lig_6.sdf                ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:18,18:19,19:20,20:21,21:17,22:22,23:23
2         ,13        ,lig_11.sdf               ,lig_7.sdf                ,0.70469        ,0.70469        ,0.70469        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:19,18:20,19:21,20:22,21:17,22:23,23:24
2         ,14        ,lig_11.sdf               ,lig_8.sdf                ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:18,18:19,19:20,20:21,21:17,22:22,23:23
2         ,15        ,lig_11.sdf               ,lig_9.sdf                ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:18,18:19,19:20,20:21,21:17,22:22,23:23
2         ,16        ,lig_11.sdf               ,ligands.mol2             ,0.00000        ,0.00000        ,0.00000        ,No        ,
