Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
0         ,1         ,000.mol2                 ,000_lig_15.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,2         ,000.mol2                 ,001.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,3         ,000.mol2                 ,001_lig_4.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,4         ,000.mol2                 ,002.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,5         ,000.mol2                 ,002_lig_12.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,6         ,000.mol2                 ,003.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,7         ,000.mol2                 ,003_lig_13.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,8         ,000.mol2                 ,004.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,9         ,000.mol2                 ,004_lig_2.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,10        ,000.mol2                 ,005.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,11        ,000.mol2                 ,005_lig_10.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,12        ,000.mol2                 ,006.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,13        ,000.mol2                 ,006_lig_9.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,14        ,000.mol2                 ,007.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,15        ,000.mol2                 ,007_lig_6.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,16        ,000.mol2                 ,008.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,17        ,000.mol2                 ,008_lig_7.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,18        ,000.mol2                 ,009.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,19        ,000.mol2                 ,009_lig_14.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,20        ,000.mol2                 ,010.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,21        ,000.mol2                 ,010_lig_8.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,22        ,000.mol2                 ,011.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,23        ,000.mol2                 ,011_lig_1.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,24        ,000.mol2                 ,012.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,25        ,000.mol2                 ,012_lig_11.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,26        ,000.mol2                 ,013.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,27        ,000.mol2                 ,013_lig_3.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,28        ,000.mol2                 ,014.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,29        ,000.mol2                 ,014_lig_5.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,30        ,000.mol2                 ,015.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
0         ,31        ,000.mol2                 ,015_lig_16.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,2         ,000_lig_15.mol2          ,001.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,3         ,000_lig_15.mol2          ,001_lig_4.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,4         ,000_lig_15.mol2          ,002.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,5         ,000_lig_15.mol2          ,002_lig_12.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,6         ,000_lig_15.mol2          ,003.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,7         ,000_lig_15.mol2          ,003_lig_13.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,8         ,000_lig_15.mol2          ,004.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,9         ,000_lig_15.mol2          ,004_lig_2.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,10        ,000_lig_15.mol2          ,005.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,11        ,000_lig_15.mol2          ,005_lig_10.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,12        ,000_lig_15.mol2          ,006.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,13        ,000_lig_15.mol2          ,006_lig_9.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,14        ,000_lig_15.mol2          ,007.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,15        ,000_lig_15.mol2          ,007_lig_6.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,16        ,000_lig_15.mol2          ,008.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,17        ,000_lig_15.mol2          ,008_lig_7.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,18        ,000_lig_15.mol2          ,009.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,19        ,000_lig_15.mol2          ,009_lig_14.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,20        ,000_lig_15.mol2          ,010.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,21        ,000_lig_15.mol2          ,010_lig_8.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,22        ,000_lig_15.mol2          ,011.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,23        ,000_lig_15.mol2          ,011_lig_1.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,24        ,000_lig_15.mol2          ,012.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,25        ,000_lig_15.mol2          ,012_lig_11.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
